6.417221	6.417221	B
7.609638	7.609638	B
8.336621	8.336621	B
9.259251	9.259251	B
10.115979	10.115979	B
11.182770	11.182770	B
12.173361	12.173361	B
13.890107	13.890107	B
14.783042	14.783042	B
15.626370	15.626370	B
16.502770	16.502770	B
17.643743	17.643743	B
18.520142	18.520142	B
19.479221	19.479221	B
23.117106	23.117106	B
23.513966	23.513966	B
23.921850	23.921850	B
24.383476	24.383476	B
24.858881	24.858881	B
25.294325	25.294325	B
25.751817	25.751817	B
26.187261	26.187261	B
26.633728	26.633728	B
27.080196	27.080196	B
27.543200	27.543200	B
27.973131	27.973131	B
28.507790	28.507790	B
28.943234	28.943234	B
29.400726	29.400726	B
29.891289	29.891289	B
30.337757	30.337757	B
30.806272	30.806272	B
31.241716	31.241716	B
31.721256	31.721256	B
32.184259	32.184259	B
32.647263	32.647263	B
33.121290	33.121290	B
33.578782	33.578782	B
34.014226	34.014226	B
34.532349	34.532349	B
35.011888	35.011888	B
35.447332	35.447332	B
35.904823	35.904823	B
36.345779	36.345779	B
36.775711	36.775711	B
37.233203	37.233203	B
